x (m),y (m),z (m)
107.75,-14.144985,3.8413486
107.75,-14.593983,4.2616186
107.75,0,4.1440001
107.75,0,3.543
107.75,0,2.9419999
107.75,0,2.3410001
107.75,-14.2375,4.7449999
107.75,-13.58,4.7449999
107.75,-12.9225,4.7449999
107.75,-1.9400001,4.7449999
107.75,-1.2825,4.7449999
107.75,-6.4775,4.7449999
107.75,-5.1624999,4.7449999
107.75,-10.489,4.7449999
107.75,-9.9630003,4.7449999
107.75,-9.4370003,4.7449999
107.75,-8.9110003,4.7449999
107.75,-8.3850002,4.7449999
107.75,-4.5050001,4.7449999
107.75,-3.8800001,4.7449999
107.75,-0.625,4.7449999
107.75,-13.221604,3.9937501
107.75,-12.277205,3.9937501
107.75,-11.332804,3.9937501
107.75,-10.388404,3.9937501
107.75,-9.4440031,3.9937501
107.75,-8.4996033,3.9937501
107.75,-7.5552025,3.9937501
107.75,-6.6108022,3.9937501
107.75,-5.6664019,3.9937501
107.75,-4.7220016,3.9937501
107.75,-3.7776012,3.9937501
107.75,-2.8332009,3.9937501
107.75,-1.8888006,3.9937501
107.75,-0.94440031,3.9937501
107.75,-13.221604,3.2425001
107.75,-12.277205,3.2425001
107.75,-11.332804,3.2425001
107.75,-10.388404,3.2425001
107.75,-9.4440031,3.2425001
107.75,-8.4996033,3.2425001
107.75,-7.5552025,3.2425001
107.75,-6.6108022,3.2425001
107.75,-5.6664019,3.2425001
107.75,-4.7220016,3.2425001
107.75,-3.7776012,3.2425001
107.75,-2.8332009,3.2425001
107.75,-1.8888006,3.2425001
107.75,-0.94440031,3.2425001
107.75,-12.277205,2.49125
107.75,-11.332804,2.49125
107.75,-10.388404,2.49125
107.75,-9.4440031,2.49125
107.75,-8.4996033,2.49125
107.75,-7.5552025,2.49125
107.75,-6.6108022,2.49125
107.75,-5.6664019,2.49125
107.75,-4.7220016,2.49125
107.75,-3.7776012,2.49125
107.75,-2.8332009,2.49125
107.75,-1.8888006,2.49125
107.75,-0.94440031,2.49125
107.75,12.797994,2.5805395
107.75,14.144985,3.8413486
107.75,1.9400001,4.7449999
107.75,1.2825,4.7449999
107.75,6.4775,4.7449999
107.75,5.8200002,4.7449999
107.75,5.1624999,4.7449999
107.75,14.2375,4.7449999
107.75,13.58,4.7449999
107.75,9.9630003,4.7449999
107.75,9.4370003,4.7449999
107.75,8.9110003,4.7449999
107.75,4.5050001,4.7449999
107.75,3.8800001,4.7449999
107.75,13.221604,3.9937501
107.75,12.277205,3.9937501
107.75,11.332804,3.9937501
107.75,10.388404,3.9937501
107.75,9.4440031,3.9937501
107.75,8.4996033,3.9937501
107.75,7.5552025,3.9937501
107.75,6.6108022,3.9937501
107.75,5.6664019,3.9937501
107.75,4.7220016,3.9937501
107.75,3.7776012,3.9937501
107.75,2.8332009,3.9937501
107.75,1.8888006,3.9937501
107.75,0.94440031,3.9937501
107.75,13.221604,3.2425001
107.75,12.277205,3.2425001
107.75,11.332804,3.2425001
107.75,10.388404,3.2425001
107.75,9.4440031,3.2425001
107.75,8.4996033,3.2425001
107.75,7.5552025,3.2425001
107.75,6.6108022,3.2425001
107.75,5.6664019,3.2425001
107.75,4.7220016,3.2425001
107.75,3.7776012,3.2425001
107.75,2.8332009,3.2425001
107.75,1.8888006,3.2425001
107.75,0.94440031,3.2425001
107.75,12.277205,2.49125
107.75,11.332804,2.49125
107.75,10.388404,2.49125
107.75,9.4440031,2.49125
107.75,8.4996033,2.49125
107.75,7.5552025,2.49125
107.75,6.6108022,2.49125
107.75,5.6664019,2.49125
107.75,4.7220016,2.49125
107.75,3.7776012,2.49125
107.75,2.8332009,2.49125
107.75,1.8888006,2.49125
107.75,0.94440031,2.49125
108.95,-13.58,4.7449999
108.15,-14.665,4.7449999
108.95,-14.205,4.7449999
108.15,-12.495,4.7449999
107.75,-14.895,4.7449999
107.75,-2.5975001,4.7449999
108.95,-1.9400001,4.7449999
108.95,-1.3150001,4.7449999
107.75,-3.2550001,4.7449999
107.75,-5.8200002,4.7449999
108.15,-6.9050002,4.7449999
108.15,-4.7350001,4.7449999
108.15,-10.785,4.7449999
108.15,-8.6149998,4.7449999
107.75,-11.015,4.7449999
107.75,2.5975001,4.7449999
108.95,1.9400001,4.7449999
108.15,3.0250001,4.7449999
108.15,0.85500002,4.7449999
107.75,0.625,4.7449999
108.15,6.9050002,4.7449999
108.55,4.9650002,4.7449999
107.75,12.9225,4.7449999
108.95,13.58,4.7449999
108.15,14.665,4.7449999
107.75,14.895,4.7449999
107.75,10.489,4.7449999
108.95,9.6999998,4.7449999
108.55,10.555,4.7449999
108.95,10.325,4.7449999
108.95,9.0749998,4.7449999
108.15,8.6149998,4.7449999
107.75,11.015,4.7449999
107.75,8.3850002,4.7449999
107.75,-6.0830002,18.746273
108.55,-6.6750002,18.746273
108.55,-8.8450003,18.746273
108.35,-10.033313,18.746273
107.75,-10.033313,18.746273
108.95,10.033313,18.746273
107.75,8.9344378,18.746273
108.95,9.5541563,18.746273
108.15,8.6149998,18.746273
108.35,10.033313,18.746273
107.75,8.3850002,18.746273
107.75,5.0310001,18.746273
108.55,6.6750002,18.746273
108.95,6.4450002,18.746273
108.95,5.1950002,18.746273
107.75,-1.677,18.746273
107.75,-2.7290001,18.746273
108.95,-1.9400001,18.746273
108.55,-1.085,18.746273
107.75,-0.625,18.746273
107.75,1.151,18.746273
107.75,1.677,18.746273
107.75,2.2030001,18.746273
107.75,2.7290001,18.746273
108.15,3.0250001,18.746273
108.95,1.3150001,18.746273
107.75,5.2459998,20.829597
107.75,6.5380001,20.754791
107.75,7.184,20.717388
104.71667,4.5999999,20.867001
105.32333,4.5999999,20.867001
106.53667,4.5999999,20.867001
107.14333,4.5999999,20.867001
107.75,7.8299999,20.679985
106.84,7.8299999,20.679985
105.93,7.8299999,20.679985
105.02,7.8299999,20.679985
104.11,7.8299999,20.679985
106.84,7.0225,20.72674
105.93,7.0225,20.72674
105.02,7.0225,20.72674
104.11,7.0225,20.72674
106.84,6.2150002,20.773493
105.93,6.2150002,20.773493
105.02,6.2150002,20.773493
104.11,6.2150002,20.773493
106.84,5.4074998,20.820246
105.93,5.4074998,20.820246
105.02,5.4074998,20.820246
104.11,5.4074998,20.820246
107.75,1.9714285,20.943001
107.75,2.6285715,20.924
107.75,3.2857144,20.905001
104.71667,0,21
107.14333,0,21
105.93,4.5999999,20.867001
104.11,4.5999999,20.867001
106.84,3.6800001,20.8936
105.93,3.6800001,20.8936
105.02,3.6800001,20.8936
104.11,3.6800001,20.8936
106.84,2.76,20.9202
105.93,2.76,20.9202
105.02,2.76,20.9202
104.11,2.76,20.9202
106.84,1.84,20.9468
105.93,1.84,20.9468
105.02,1.84,20.9468
104.11,1.84,20.9468
106.84,0.92000002,20.9734
105.93,0.92000002,20.9734
105.02,0.92000002,20.9734
104.11,0.92000002,20.9734
104.11,0,21
107.75,-2.6285715,20.924
107.75,-1.9714285,20.943001
107.75,-0.65714288,20.981001
106.53667,0,21
105.32333,0,21
105.93,-4.5999999,20.867001
107.14333,-4.5999999,20.867001
107.75,0,21
105.93,0,21
106.84,-0.92000002,20.9734
105.93,-0.92000002,20.9734
105.02,-0.92000002,20.9734
104.11,-0.92000002,20.9734
106.84,-1.84,20.9468
105.93,-1.84,20.9468
105.02,-1.84,20.9468
104.11,-1.84,20.9468
106.84,-2.76,20.9202
105.93,-2.76,20.9202
105.02,-2.76,20.9202
104.11,-2.76,20.9202
106.84,-3.6800001,20.8936
105.93,-3.6800001,20.8936
105.02,-3.6800001,20.8936
104.11,-3.6800001,20.8936
107.75,-5.2459998,20.829597
106.53667,-4.5999999,20.867001
105.32333,-4.5999999,20.867001
104.71667,-4.5999999,20.867001
104.11,-4.5999999,20.867001
106.84,-5.4074998,20.820246
105.93,-5.4074998,20.820246
105.02,-5.4074998,20.820246
104.11,-5.4074998,20.820246
106.84,-6.2150002,20.773493
105.93,-6.2150002,20.773493
105.02,-6.2150002,20.773493
104.11,-6.2150002,20.773493
106.84,-7.0225,20.72674
105.93,-7.0225,20.72674
105.02,-7.0225,20.72674
104.11,-7.0225,20.72674
106.84,-7.8299999,20.679985
105.93,-7.8299999,20.679985
105.02,-7.8299999,20.679985
104.11,-7.8299999,20.679985
107.75,-1.3142858,20.962
107.75,-3.2857144,20.905001
107.75,-3.942857,20.886
107.75,-4.5999999,20.867001
107.75,-5.8920002,20.792194
107.75,-6.5380001,20.754791
107.75,-7.184,20.717388
107.75,-8.3808279,19.709057
107.75,-6.6090002,18.746273
107.75,-5.5570002,18.746273
107.75,-5.0310001,18.746273
107.75,-2.2030001,18.746273
107.75,-1.151,18.746273
107.75,-9.4838753,18.746273
107.75,-8.9344378,18.746273
107.75,-7.8299999,20.679985
107.75,0,19.873137
107.75,0,20.436569
107.75,-4.5050001,18.746273
107.75,-3.8800001,18.746273
107.75,-7.3425603,20.256271
107.75,-7.3425603,19.490004
107.75,-6.4121985,20.256271
107.75,-6.4121985,19.490004
107.75,-5.4818373,20.256271
107.75,-5.4818373,19.490004
107.75,-4.5514755,20.256271
107.75,-4.5514755,19.490004
107.75,-3.6211135,20.256271
107.75,-3.6211135,19.490004
107.75,-2.690752,20.256271
107.75,-2.690752,19.490004
107.75,-1.7603903,20.256271
107.75,-1.7603903,19.490004
107.75,-0.83002859,20.256271
107.75,-0.83002859,19.490004
107.75,5.8920002,20.792194
107.75,0.65714288,20.981001
107.75,1.3142858,20.962
107.75,3.942857,20.886
107.75,4.5999999,20.867001
107.75,8.3808279,19.709057
107.75,8.9316559,19.38813
107.75,9.4824839,19.067202
107.75,6.6090002,18.746273
107.75,6.0830002,18.746273
107.75,5.5570002,18.746273
107.75,9.4838753,18.746273
107.75,0,19.309706
107.75,7.1350002,18.746273
107.75,7.3425603,20.256271
107.75,7.3425603,19.490004
107.75,6.4121985,20.256271
107.75,6.4121985,19.490004
107.75,5.4818373,20.256271
107.75,5.4818373,19.490004
107.75,4.5514755,20.256271
107.75,4.5514755,19.490004
107.75,3.6211135,20.256271
107.75,3.6211135,19.490004
107.75,2.690752,20.256271
107.75,2.690752,19.490004
107.75,1.7603903,20.256271
107.75,1.7603903,19.490004
107.75,0.83002859,20.256271
107.75,0.83002859,19.490004
107.75,-15.5075,14.052266
107.75,-15.5075,14.982992
107.75,-15.615203,5.2175002
107.75,-15.711667,15.437906
107.75,-15.303333,15.675813
107.75,-15.20125,5.2103634
107.75,-15.20125,5.6757264
107.75,-14.895,15.215674
107.75,-14.895,14.51763
107.75,-14.895,13.819584
107.75,-14.895,12.423494
107.75,-14.895,10.32936
107.75,-14.895,9.6313143
107.75,-14.895,8.2352247
107.75,-14.895,5.4430451
107.75,-15.5075,5.6757264
107.75,-15.5075,6.6064534
107.75,-15.5075,7.5371799
107.75,-15.5075,8.467906
107.75,-15.5075,9.398633
107.75,-15.5075,10.32936
107.75,-15.5075,11.260086
107.75,-15.5075,12.190813
107.75,-15.5075,13.121539
108.95,-13.58,5.6910782
108.95,-13.58,6.6371565
108.95,-13.58,7.5832348
108.95,-13.58,8.5293131
108.95,-13.58,9.4753914
108.95,-13.58,10.42147
108.95,-13.58,11.367548
108.95,-13.58,12.313626
108.95,-13.58,13.259705
108.95,-13.58,14.205783
108.95,-13.58,16.097939
108.95,-13.719546,16.598572
108.95,-14.205,6.1062627
108.95,-14.205,10.19005
108.95,-14.205,10.870682
108.95,-14.205,12.231944
108.95,-14.205,13.593207
108.95,-14.205,14.95447
108.95,-14.205,16.315733
108.95,-12.955,16.360739
108.95,-12.955,15.67746
108.95,-12.955,14.994181
108.95,-12.955,14.310903
108.95,-12.955,13.627624
108.95,-12.955,12.944345
108.95,-12.955,11.577787
108.95,-12.955,9.5279512
108.95,-12.955,8.8446722
108.95,-12.955,7.4781151
108.95,-12.955,6.794836
108.95,-12.955,6.1115575
108.95,-12.955,4.7449999
107.75,-11.64,5.704237
107.75,-11.64,6.6634736
107.75,-11.64,7.6227102
107.75,-11.64,8.5819473
107.75,-11.64,9.5411844
107.75,-11.64,10.500421
107.75,-11.64,11.459658
107.75,-11.64,12.418895
107.75,-11.64,13.378131
107.75,-11.64,14.337368
107.75,-11.64,15.296605
107.75,-11.64,17.215078
107.75,-11.848333,17.688791
107.75,-11.431666,17.931553
107.75,-12.265,5.450613
107.75,-12.265,6.1562257
107.75,-12.265,12.506741
107.75,-12.265,13.212354
107.75,-12.265,13.917967
107.75,-12.265,14.623579
107.75,-12.265,15.329192
107.75,-12.265,16.740417
107.75,-11.015,16.831385
107.75,-11.015,15.488452
107.75,-11.015,14.816986
107.75,-11.015,12.802589
107.75,-11.015,12.131124
107.75,-11.015,10.116726
107.75,-11.015,8.7737942
107.75,-11.015,7.4308629
107.75,-11.015,6.7593975
107.75,-11.015,6.0879316
107.75,-12.265,4.7449999
107.75,-11.64,4.7449999
107.75,-11.015,11.459658
107.75,-11.015,18.174314
108.95,-9.6999998,5.6784182
108.95,-9.6999998,6.6118364
108.95,-9.6999998,7.5452547
108.95,-9.6999998,8.478673
108.95,-9.6999998,9.4120913
108.95,-9.6999998,10.34551
108.95,-9.6999998,11.278928
108.95,-9.6999998,12.212346
108.95,-9.6999998,13.145764
108.95,-9.6999998,14.079183
108.95,-9.6999998,15.012601
108.95,-10.0125,17.346148
108.95,-9.6999998,17.346148
108.95,-10.0125,16.879438
108.95,-10.16875,18.046211
108.95,-10.0125,18.046211
108.95,-10.16875,17.812857
108.95,-10.246875,18.396242
108.95,-10.16875,18.396242
108.95,-10.246875,18.279566
108.95,-10.285937,18.571259
108.95,-10.246875,18.571259
108.95,-10.285937,18.51292
108.95,-10.246875,18.51292
108.95,-10.16875,18.51292
108.95,-10.0125,18.51292
108.95,-10.16875,18.279566
108.95,-10.0125,18.279566
108.95,-9.6999998,18.279566
108.95,-10.0125,17.812857
108.95,-10.304983,18.587992
108.95,-10.033313,18.746273
108.95,-9.5541563,18.746273
108.95,-10.325,5.4365664
108.95,-10.325,6.1281328
108.95,-10.325,6.8196993
108.95,-10.325,7.5112658
108.95,-10.325,8.8943987
108.95,-10.325,10.277532
108.95,-10.325,10.969098
108.95,-10.325,11.660665
108.95,-10.325,17.884762
108.95,-9.0749998,17.346148
108.95,-9.0749998,13.845828
108.95,-9.0749998,12.445701
108.95,-9.0749998,11.745637
108.95,-9.0749998,11.045573
108.95,-9.0749998,10.34551
108.95,-9.0749998,8.2453184
108.95,-9.0749998,7.5452547
108.95,-9.0749998,6.845191
108.95,-9.0749998,6.1451273
108.95,-9.0749998,5.4450636
108.95,-9.6999998,4.7449999
108.95,-9.6999998,16.879438
108.95,-9.6999998,17.812857
108.95,-9.0749998,4.7449999
108.95,-9.0749998,18.746273
108.35,-14.55,6.6734552
108.35,-14.55,5.7092276
108.35,-14.55,7.6376829
108.35,-14.55,8.6019106
108.35,-14.55,9.5661383
108.35,-14.55,10.530366
108.35,-14.55,11.494594
108.35,-14.55,12.458821
108.35,-14.55,13.423049
108.35,-14.55,15.351504
107.75,-14.895,6.1410899
107.75,-14.895,6.8391347
107.75,-14.895,7.5371799
107.75,-14.895,8.9332695
107.75,-14.895,11.027405
107.75,-14.895,11.72545
107.75,-14.895,13.121539
108.95,-14.205,15.635101
108.95,-14.205,14.273838
108.95,-14.205,12.912576
108.95,-14.205,11.551313
108.95,-14.205,9.5094194
108.95,-14.205,8.8287878
108.95,-14.205,8.1481562
108.95,-14.205,7.4675255
108.95,-14.205,6.7868938
108.95,-14.205,5.4256315
108.35,-14.55,16.114725
108.55,-14.435,4.7449999
108.35,-12.61,5.7220025
108.35,-12.61,7.6760073
108.35,-12.61,6.6990047
108.35,-12.61,8.6530094
108.35,-12.61,9.6300116
108.35,-12.61,10.607014
108.35,-12.61,11.584017
108.35,-12.61,12.561019
108.35,-12.61,13.538021
108.35,-12.61,14.515023
108.35,-12.61,15.492025
108.95,-12.955,5.4282789
108.95,-12.955,8.1613941
108.95,-12.955,10.21123
108.95,-12.955,10.894508
108.95,-12.955,12.261066
107.75,-12.265,16.034805
107.75,-12.265,11.801128
107.75,-12.265,11.095515
107.75,-12.265,10.389902
107.75,-12.265,9.6842899
107.75,-12.265,8.9786768
107.75,-12.265,8.2730637
107.75,-12.265,7.567451
107.75,-12.265,6.8618383
108.55,-12.725,4.7449999
108.35,-10.67,5.6784182
108.35,-10.67,8.478673
108.35,-10.67,6.6118364
108.35,-10.67,7.5452547
108.35,-10.67,9.4120913
108.35,-10.67,10.34551
108.35,-10.67,11.278928
108.35,-10.67,12.212346
108.35,-10.67,13.145764
108.35,-10.67,14.079183
108.35,-10.67,15.012601
108.35,-10.67,15.946019
108.35,-10.67,16.879438
107.75,-11.015,5.4164658
107.75,-11.015,8.1023293
107.75,-11.015,9.44526
107.75,-11.015,10.788192
107.75,-11.015,13.474055
107.75,-11.015,14.145521
107.75,-11.015,16.159918
107.75,-11.015,17.50285
108.95,-10.325,17.193195
108.95,-10.325,16.501629
108.95,-10.325,15.810063
108.95,-10.325,15.118497
108.95,-10.325,14.42693
108.95,-10.325,13.735364
108.95,-10.325,13.043797
108.95,-10.325,12.352231
108.95,-10.325,9.5859652
108.95,-10.325,8.2028322
108.05,-10.8425,18.274818
108.35,-10.67,18.375322
108.65,-10.4975,18.475826
108.95,-10.325,18.576328
108.55,-10.555,4.7449999
108.95,-10.325,4.7449999
107.75,-7.7600002,5.6784182
107.75,-7.7600002,6.6118364
107.75,-7.7600002,7.5452547
107.75,-7.7600002,8.478673
107.75,-7.7600002,9.4120913
107.75,-7.7600002,10.34551
107.75,-7.7600002,11.278928
107.75,-7.7600002,12.212346
107.75,-7.7600002,13.145764
107.75,-7.7600002,14.079183
107.75,-7.7600002,15.012601
107.75,-7.7600002,15.946019
107.75,-7.7600002,17.812857
107.75,-7.7600002,18.746273
107.75,-8.3850002,6.1451273
107.75,-8.3850002,8.9453821
107.75,-8.3850002,11.745637
107.75,-8.3850002,12.445701
107.75,-8.3850002,13.145764
107.75,-8.3850002,13.845828
107.75,-8.3850002,15.946019
107.75,-8.3850002,18.046211
107.75,-7.1350002,18.046211
107.75,-7.1350002,17.346148
107.75,-7.1350002,15.946019
107.75,-7.1350002,13.845828
107.75,-7.1350002,11.745637
107.75,-7.1350002,7.5452547
107.75,-7.7600002,4.7449999
107.75,-7.1350002,4.7449999
108.95,-5.8200002,5.6784182
108.95,-5.8200002,6.6118364
108.95,-5.8200002,7.5452547
108.95,-5.8200002,8.478673
108.95,-5.8200002,9.4120913
108.95,-5.8200002,10.34551
108.95,-5.8200002,11.278928
108.95,-5.8200002,12.212346
108.95,-5.8200002,13.145764
108.95,-5.8200002,14.079183
108.95,-5.8200002,15.012601
108.95,-5.8200002,15.946019
108.95,-5.8200002,16.879438
108.95,-6.4450002,6.1451273
108.95,-6.4450002,6.845191
108.95,-6.4450002,7.5452547
108.95,-6.4450002,8.9453821
108.95,-6.4450002,9.6454458
108.95,-6.4450002,11.045573
108.95,-6.4450002,11.745637
108.95,-6.4450002,13.845828
108.95,-5.1950002,15.946019
108.95,-5.1950002,15.245955
108.95,-5.1950002,14.545892
108.95,-5.1950002,13.845828
108.95,-5.1950002,13.145764
108.95,-5.1950002,12.445701
108.95,-5.1950002,10.34551
108.95,-5.1950002,6.845191
108.95,-5.1950002,6.1451273
108.95,-5.1950002,5.4450636
108.95,-6.4450002,4.7449999
108.95,-5.8200002,4.7449999
108.95,-5.8200002,18.746273
107.75,-3.8800001,5.6784182
107.75,-3.8800001,6.6118364
107.75,-3.8800001,7.5452547
107.75,-3.8800001,8.478673
107.75,-3.8800001,9.4120913
107.75,-3.8800001,10.34551
107.75,-3.8800001,11.278928
107.75,-3.8800001,12.212346
107.75,-3.8800001,13.145764
107.75,-3.8800001,14.079183
107.75,-3.8800001,15.012601
107.75,-3.8800001,15.946019
107.75,-3.8800001,16.879438
107.75,-4.5050001,6.845191
107.75,-4.5050001,8.9453821
107.75,-4.5050001,9.6454458
107.75,-4.5050001,11.045573
107.75,-4.5050001,11.745637
107.75,-4.5050001,12.445701
107.75,-4.5050001,14.545892
107.75,-4.5050001,15.245955
107.75,-4.5050001,16.646084
107.75,-4.5050001,17.346148
107.75,-4.5050001,18.046211
107.75,-3.2550001,18.046211
107.75,-3.2550001,15.946019
107.75,-3.2550001,10.34551
107.75,-3.2550001,9.6454458
107.75,-3.2550001,7.5452547
107.75,-3.2550001,6.1451273
107.75,-3.2550001,5.4450636
108.95,-1.9400001,5.6784182
108.95,-1.9400001,6.6118364
108.95,-1.9400001,7.5452547
108.95,-1.9400001,8.478673
108.95,-1.9400001,9.4120913
108.95,-1.9400001,10.34551
108.95,-1.9400001,11.278928
108.95,-1.9400001,12.212346
108.95,-1.9400001,13.145764
108.95,-1.9400001,14.079183
108.95,-1.9400001,15.012601
108.95,-1.9400001,15.946019
108.95,-1.9400001,16.879438
108.95,-2.5650001,7.5452547
108.95,-2.5650001,8.2453184
108.95,-2.5650001,8.9453821
108.95,-2.5650001,10.34551
108.95,-2.5650001,11.045573
108.95,-2.5650001,12.445701
108.95,-2.5650001,15.245955
108.95,-2.5650001,15.946019
108.95,-2.5650001,18.046211
108.95,-1.3150001,17.346148
108.95,-1.3150001,15.245955
108.95,-1.3150001,13.845828
108.95,-1.3150001,13.145764
108.95,-1.3150001,10.34551
108.95,-1.3150001,6.845191
108.95,-1.3150001,6.1451273
108.95,-1.3150001,5.4450636
107.75,-0.625,6.1451273
107.75,-0.625,6.845191
107.75,-0.625,8.2453184
107.75,-0.625,9.6454458
107.75,-0.625,10.34551
107.75,-0.625,14.545892
107.75,-0.625,15.245955
107.75,-0.625,15.946019
107.75,0,17.346148
107.75,0,16.646084
107.75,0,15.946019
107.75,0,15.245955
107.75,0,13.145764
107.75,0,12.445701
107.75,0,11.745637
107.75,0,8.2453184
107.75,0,7.5452547
107.75,0,6.1451273
107.75,0,5.4450636
107.75,0,4.7449999
108.35,-8.7299995,5.6784182
108.35,-8.7299995,7.5452547
108.35,-8.7299995,6.6118364
108.35,-8.7299995,8.478673
108.35,-8.7299995,9.4120913
108.35,-8.7299995,10.34551
108.35,-8.7299995,11.278928
108.35,-8.7299995,12.212346
108.35,-8.7299995,13.145764
108.35,-8.7299995,14.079183
108.35,-8.7299995,15.012601
108.35,-8.7299995,15.946019
108.35,-8.7299995,17.812857
108.55,-8.8450003,4.7449999
108.95,-9.0749998,8.9453821
108.95,-9.0749998,9.6454458
108.95,-9.0749998,13.145764
108.95,-9.0749998,14.545892
108.95,-9.0749998,15.245955
108.95,-9.0749998,15.946019
108.95,-9.0749998,16.646084
108.95,-9.0749998,18.046211
108.15,-8.6149998,18.746273
107.75,-8.3850002,17.346148
107.75,-8.3850002,16.646084
107.75,-8.3850002,15.245955
107.75,-8.3850002,14.545892
107.75,-8.3850002,11.045573
107.75,-8.3850002,10.34551
107.75,-8.3850002,9.6454458
107.75,-8.3850002,8.2453184
107.75,-8.3850002,7.5452547
107.75,-8.3850002,6.845191
107.75,-8.3850002,5.4450636
107.75,-8.3850002,18.746273
